dataset_id	lib_name	spl_expected_status	method_name	spl_pred_score
0	spl-106	MSI	MSISensor	1
0	spl-093	MSI	MSISensor	1
0	spl-277	MSI	MSISensor	1
0	spl-124	MSI	MSISensor	1
0	spl-068	MSI	MSISensor	1
0	spl-163	MSI	MSISensor	1
0	spl-047	MSI	MSISensor	1
0	spl-140	MSI	MSISensor	1
0	spl-021	MSI	MSISensor	1
0	spl-019	MSI	MSISensor	1
0	spl-117	MSI	MSISensor	1
0	spl-101	MSI	MSISensor	1
0	spl-104	MSI	MSISensor	1
0	spl-276	MSI	MSISensor	1
0	spl-065	MSI	MSISensor	1
0	spl-004	MSI	MSISensor	1
0	spl-130	MSI	MSISensor	0.8333
0	spl-273	MSI	MSISensor	1
0	spl-275	MSI	MSISensor	0.8333
0	spl-053	MSI	MSISensor	0.8333
0	spl-077	MSI	MSISensor	1
0	spl-157	MSI	MSISensor	1
0	spl-049	MSI	MSISensor	1
0	spl-169	MSI	MSISensor	1
0	spl-126	MSI	MSISensor	1
0	spl-042	MSI	MSISensor	1
0	spl-071	MSI	MSISensor	1
0	spl-061	MSI	MSISensor	0.6667
0	spl-176	MSI	MSISensor	1
0	spl-112	MSI	MSISensor	0.8
0	spl-014	MSI	MSISensor	1
0	spl-028	MSI	MSISensor	1
0	spl-151	MSI	MSISensor	0.8333
0	spl-011	MSI	MSISensor	1
0	spl-017	MSI	MSISensor	1
0	spl-148	MSI	MSISensor	1
0	spl-032	MSI	MSISensor	1
0	spl-056	MSI	MSISensor	1
0	spl-058	MSI	MSISensor	1
0	spl-118	MSI	MSISensor	1
0	spl-078	MSI	MSISensor	1
0	spl-003	MSI	MSISensor	0.8333
0	spl-171	MSI	MSISensor	1
0	spl-160	MSI	MSISensor	1
0	spl-039	MSI	MSISensor	0.8333
0	spl-114	MSI	MSISensor	1
0	spl-080	MSI	MSISensor	1
0	spl-138	MSI	MSISensor	1
0	spl-142	MSI	MSISensor	1
0	spl-159	MSI	MSISensor	1
0	spl-041	MSI	MSISensor	1
0	spl-012	MSI	MSISensor	1
0	spl-020	MSI	MSISensor	1
0	spl-113	MSI	MSISensor	1
0	spl-123	MSI	MSISensor	1
0	spl-152	MSI	MSISensor	1
0	spl-132	MSI	MSISensor	1
0	spl-271	MSI	MSISensor	1
0	spl-083	MSI	MSISensor	1
0	spl-097	MSI	MSISensor	1
0	spl-136	MSI	MSISensor	1
0	spl-164	MSI	MSISensor	1
0	spl-026	MSI	MSISensor	1
0	spl-094	MSI	MSISensor	1
0	spl-081	MSI	MSISensor	0.8333
0	spl-182	MSI	MSISensor	1
0	spl-158	MSI	MSISensor	1
0	spl-180	MSI	MSISensor	1
0	spl-154	MSI	MSISensor	1
0	spl-122	MSI	MSISensor	0.8
0	spl-018	MSI	MSISensor	0.8333
0	spl-031	MSI	MSISensor	1
0	spl-162	MSI	MSISensor	1
0	spl-015	MSI	MSISensor	0.8333
0	spl-139	MSI	MSISensor	0.8333
0	spl-001	MSI	MSISensor	1
0	spl-186	MSI	MSISensor	0.8
0	spl-100	MSI	MSISensor	1
0	spl-146	MSI	MSISensor	1
0	spl-161	MSI	MSISensor	1
0	spl-052	MSI	MSISensor	1
0	spl-278	MSI	MSISensor	1
0	spl-272	MSI	MSISensor	0.8333
0	spl-034	MSI	MSISensor	1
0	spl-105	MSI	MSISensor	1
0	spl-088	MSI	MSISensor	1
0	spl-133	MSI	MSISensor	1
0	spl-035	MSI	MSISensor	1
0	spl-048	MSI	MSISensor	0.8333
0	spl-007	MSI	MSISensor	0.8333
0	spl-110	MSI	MSISensor	1
0	spl-033	MSI	MSISensor	1
0	spl-167	MSI	MSISensor	1
0	spl-059	MSI	MSISensor	1
0	spl-016	MSI	MSISensor	0.5
0	spl-172	MSI	MSISensor	1
0	spl-115	MSI	MSISensor	0.75
0	spl-144	MSI	MSISensor	0.8333
0	spl-270	MSI	MSISensor	1
0	spl-062	MSI	MSISensor	0.8333
0	spl-099	MSI	MSISensor	0.8333
0	spl-036	MSI	MSISensor	1
0	spl-038	MSI	MSISensor	1
0	spl-155	MSI	MSISensor	1
0	spl-181	MSI	MSISensor	1
0	spl-173	MSI	MSISensor	1
0	spl-082	MSI	MSISensor	0.6667
0	spl-129	MSI	MSISensor	1
0	spl-045	MSI	MSISensor	1
0	spl-096	MSI	MSISensor	1
0	spl-079	MSI	MSISensor	1
0	spl-054	MSI	MSISensor	0.8333
0	spl-060	MSI	MSISensor	1
0	spl-008	MSI	MSISensor	1
0	spl-260	MSI	MSISensor	1
0	spl-067	MSI	MSISensor	1
0	spl-102	MSI	MSISensor	0.8
0	spl-043	MSI	MSISensor	1
0	spl-051	MSI	MSISensor	1
0	spl-055	MSI	MSISensor	1
0	spl-029	MSI	MSISensor	1
0	spl-089	MSI	MSISensor	1
0	spl-274	MSI	MSISensor	1
0	spl-090	MSI	MSISensor	1
0	spl-027	MSI	MSISensor	1
0	spl-024	MSI	MSISensor	1
0	spl-127	MSI	MSISensor	1
0	spl-030	MSI	MSISensor	0.8333
0	spl-006	MSI	MSISensor	1
