dataset_id	lib_name	spl_expected_status	method_name	spl_pred_score
0	ERR2760887	MSS	MSISensor	0.1667
0	ERR2760899	MSS	MSISensor	0.2174
0	ERR2760865	MSS	MSISensor	0.2105
0	ERR2760885	MSS	MSISensor	0.15
0	ERR2760901	MSS	MSISensor	0.1364
0	ERR2763077	MSS	MSISensor	0.1429
0	ERR2760883	MSS	MSISensor	0.0476
0	ERR2760874	MSS	MSISensor	0.1304
0	ERR2763098	MSS	MSISensor	0.1304
0	ERR2760881	MSS	MSISensor	0.0909
0	ERR2763122	MSS	MSISensor	0.1818
0	ERR2763055	MSS	MSISensor	0.125
0	ERR2762915	MSS	MSISensor	0.0476
0	ERR2763118	MSS	MSISensor	0.1304
0	ERR2760937	MSS	MSISensor	0.0909
0	ERR2760873	MSS	MSISensor	0.1364
0	ERR2763089	MSS	MSISensor	0.15
0	ERR2763121	MSS	MSISensor	0.1304
0	ERR2763108	MSS	MSISensor	0.0952
0	ERR2760892	MSS	MSISensor	0.1429
0	ERR2763042	MSS	MSISensor	0.1364
0	ERR2760902	MSS	MSISensor	0.1429
0	ERR2763134	MSS	MSISensor	0.0909
0	ERR2763119	MSS	MSISensor	0.087
0	ERR2763045	MSS	MSISensor	0.1739
0	ERR2763133	MSS	MSISensor	0.1429
0	ERR2760860	MSS	MSISensor	0.0455
0	ERR2763135	MSS	MSISensor	0.0476
0	ERR2760864	MSS	MSISensor	0.1
0	ERR2760907	MSS	MSISensor	0.125
0	ERR2760877	MSS	MSISensor	0.0476
0	ERR2763116	MSS	MSISensor	0.1
0	ERR2763062	MSS	MSISensor	0.15
0	ERR2763087	MSS	MSISensor	0.1364
0	ERR2760889	MSS	MSISensor	0.1818
0	ERR2763064	MSS	MSISensor	0.0952
0	ERR2763054	MSS	MSISensor	0.087
0	ERR2763092	MSS	MSISensor	0.1053
0	ERR2763051	MSS	MSISensor	0.15
0	ERR2760900	MSS	MSISensor	0.1304
0	ERR2760875	MSS	MSISensor	0.0476
0	ERR2763120	MSS	MSISensor	0.1429
0	ERR2763056	MSS	MSISensor	0.1739
0	ERR2763099	MSS	MSISensor	0.1304
0	ERR2763128	MSS	MSISensor	0.1304
0	ERR2760894	MSS	MSISensor	0.1739
0	ERR2763130	MSS	MSISensor	0.1
0	ERR2760897	MSS	MSISensor	0.1667
0	ERR2763082	MSS	MSISensor	0.1818
0	ERR2763091	MSS	MSISensor	0.1905
0	ERR2760906	MSS	MSISensor	0.1304
0	ERR2760904	MSS	MSISensor	0.1739
