sample	sample_status	BAT25	BAT26	NR21	NR22	NR27	HT17
spl-158	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-159	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-160	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-161	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-162	MSI	Undetermined	MSI	MSI	MSI	MSI	MSI
spl-163	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-164	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-165	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-166	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-167	MSI	Undetermined	Undetermined	MSI	MSI	Undetermined	Undetermined
spl-168	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-169	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-170	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-171	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-172	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-173	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-174	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-175	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-176	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-177	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-178	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-179	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-180	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-181	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-182	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-183	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-184	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-185	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-186	MSI	MSI	MSI	MSI	MSI	MSI	MSS
spl-187	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-188	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-189	MSS	MSS	MSS	MSI	MSS	MSS	MSS
spl-190	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-191	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-192	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-193	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-194	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-195	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-196	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-197	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-198	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-199	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-200	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-201	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-202	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-203	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-204	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-205	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-206	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-207	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-208	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-209	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-210	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-211	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-212	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-213	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-214	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-215	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-216	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-217	MSS	MSS	MSS	MSI	MSS	MSS	MSS
spl-218	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-219	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-220	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-221	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-222	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-223	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-224	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-225	MSS	MSS	MSS	MSI	MSS	MSS	MSS
spl-226	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-227	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-228	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-229	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-230	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-231	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-232	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-233	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-234	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-235	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-236	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-237	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-238	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-239	MSS	MSS	MSS	MSI	MSS	MSS	MSS
spl-240	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-241	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-242	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-243	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-244	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-245	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-246	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-247	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-248	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-249	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-250	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-251	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-252	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-253	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-254	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-255	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-256	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-257	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-258	MSS	MSI	MSS	MSS	MSS	MSS	MSS
spl-259	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-260	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-261	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-262	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-263	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-264	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-265	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-266	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-267	MSS	MSS	MSS	MSS	MSS	Undetermined	MSS
spl-268	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-269	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-270	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-271	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-272	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-273	MSI	Undetermined	MSI	Undetermined	MSI	Undetermined	MSI
spl-274	MSI	Undetermined	MSI	MSI	MSI	MSI	MSI
spl-275	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-276	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-277	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-278	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-279	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-280	MSS	MSS	MSS	MSI	MSS	MSS	MSS
spl-281	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-282	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-283	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-284	MSS	MSI	Undetermined	MSS	MSS	MSS	MSS
spl-285	MSS	MSS	MSS	MSI	MSS	MSS	MSS
spl-286	MSS	MSS	MSS	MSS	MSS	MSS	MSS
